concentration_g_L,shear_rate_s_inv,eta_mPa_s,eta_Pa_s,x_pdf_pt,y_pdf_pt
0.6,4.210543906345235,2.721687833263778,0.0027216878332637783,296.3451232910156,198.97354125976562
0.6,4.262167024398997,2.721687833263778,0.0027216878332637783,296.4482727050781,198.97354125976562
0.6,4.31440750982965,2.721687833263778,0.0027216878332637783,296.5513916015625,198.97354125976562
0.6,4.367288295910748,2.721687833263778,0.0027216878332637783,296.6545104980469,198.97354125976562
0.6,4.420817230672791,2.721687833263778,0.0027216878332637783,296.75762939453125,198.97354125976562
0.6,4.4750022583379385,2.721687833263778,0.0027216878332637783,296.8607482910156,198.97354125976562
0.6,4.5298677519680846,2.721687833263778,0.0027216878332637783,296.9638977050781,198.97354125976562
0.6,4.585389388953401,2.721687833263778,0.0027216878332637783,297.0670166015625,198.97354125976562
0.6,4.641591542974163,2.721687833263778,0.0027216878332637783,297.1701354980469,198.97354125976562
0.6,4.6984825549846505,2.721687833263778,0.0027216878332637783,297.27325439453125,198.97354125976562
0.6,4.75607086817246,2.721687833263778,0.0027216878332637783,297.3763732910156,198.97354125976562
0.6,4.814382386437294,2.721687833263778,0.0027216878332637783,297.4795227050781,198.97354125976562
0.6,4.87339125950034,2.721687833263778,0.0027216878332637783,297.5826416015625,198.97354125976562
0.6,4.93312339191852,2.721687833263778,0.0027216878332637783,297.6857604980469,198.97354125976562
0.6,4.993587648529736,2.721687833263778,0.0027216878332637783,297.78887939453125,198.97354125976562
0.6,5.054793002826355,2.721687833263778,0.0027216878332637783,297.8919982910156,198.97354125976562
0.6,5.116766985695646,2.721687833263778,0.0027216878332637783,297.9951477050781,198.97354125976562
0.6,5.179482123239082,2.721687833263778,0.0027216878332637783,298.0982666015625,198.97354125976562
0.6,5.242965947042431,2.721687833263778,0.0027216878332637783,298.2013854980469,198.97354125976562
0.6,5.307227878731629,2.721687833263778,0.0027216878332637783,298.30450439453125,198.97354125976562
0.6,5.372277455411493,2.721687833263778,0.0027216878332637783,298.4076232910156,198.97354125976562
0.6,5.4381439371456795,2.721687833263778,0.0027216878332637783,298.5107727050781,198.97354125976562
0.6,5.504798124438658,2.721687833263778,0.0027216878332637783,298.6138916015625,198.97354125976562
0.6,5.572269278096456,2.721687833263778,0.0027216878332637783,298.7170104980469,198.97354125976562
0.6,5.6405674115041,2.721687833263778,0.0027216878332637783,298.82012939453125,198.97354125976562
0.6,5.70970266077858,2.721687833263778,0.0027216878332637783,298.9232482910156,198.97354125976562
0.6,5.77970612376707,2.721687833263778,0.0027216878332637783,299.0263977050781,198.97354125976562
0.6,5.8505467669947215,2.721687833263778,0.0027216878332637783,299.1295166015625,198.97354125976562
0.6,5.922255689097706,2.721687833263778,0.0027216878332637783,299.2326354980469,198.97354125976562
0.6,5.994843532387713,2.721687833263778,0.0027216878332637783,299.33575439453125,198.97354125976562
0.6,6.068321069617005,2.721687833263778,0.0027216878332637783,299.4388732910156,198.97354125976562
0.6,6.142721351844888,2.721687833263778,0.0027216878332637783,299.5420227050781,198.97354125976562
0.6,6.218011396427515,2.721687833263778,0.0027216878332637783,299.6451416015625,198.97354125976562
0.6,6.2942242552627485,2.721687833263778,0.0027216878332637783,299.7482604980469,198.97354125976562
0.6,6.371371239090928,2.721687833263778,0.0027216878332637783,299.85137939453125,198.97354125976562
0.6,6.449463797285767,2.721687833263778,0.0027216878332637783,299.9544982910156,198.97354125976562
0.6,6.528537056797209,2.721687833263778,0.0027216878332637783,300.0576477050781,198.97354125976562
0.6,6.6085559633878495,2.721687833263778,0.0027216878332637783,300.1607666015625,198.97354125976562
0.6,6.68955564489885,2.721687833263778,0.0027216878332637783,300.2638854980469,198.97354125976562
0.6,6.771548122482281,2.721687833263778,0.0027216878332637783,300.36700439453125,198.97354125976562
0.6,6.854545564630945,2.721687833263778,0.0027216878332637783,300.4701232910156,198.97354125976562
0.6,6.938585304569197,2.721687833263778,0.0027216878332637783,300.5732727050781,198.97354125976562
0.6,7.02363008635219,2.721687833263778,0.0027216878332637783,300.6763916015625,198.97354125976562
0.6,7.109717244151483,2.721687833263778,0.0027216878332637783,300.7795104980469,198.97354125976562
0.6,7.196859554150825,2.721687833263778,0.0027216878332637783,300.88262939453125,198.97354125976562
0.6,7.28506994912897,2.721687833263778,0.0027216878332637783,300.9857482910156,198.97354125976562
0.6,7.37438810715769,2.721687833263778,0.0027216878332637783,301.0888977050781,198.97354125976562
0.6,7.464774432298544,2.721687833263778,0.0027216878332637783,301.1920166015625,198.97354125976562
0.6,7.556268603629988,2.721687833263778,0.0027216878332637783,301.2951354980469,198.97354125976562
0.6,7.648884199789945,2.721687833263778,0.0027216878332637783,301.39825439453125,198.97354125976562
0.6,7.7426349658468485,2.721687833263778,0.0027216878332637783,301.5013732910156,198.97354125976562
0.6,7.837563071996453,2.721687833263778,0.0027216878332637783,301.6045227050781,198.97354125976562
0.6,7.9336264353350066,2.721687833263778,0.0027216878332637783,301.7076416015625,198.97354125976562
0.6,8.030867227128189,2.721687833263778,0.0027216878332637783,301.8107604980469,198.97354125976562
0.6,8.129299878869109,2.721687833263778,0.0027216878332637783,301.91387939453125,198.97354125976562
0.6,8.228938998934645,2.721687833263778,0.0027216878332637783,302.0169982910156,198.97354125976562
0.6,8.329829406171356,2.721687833263778,0.0027216878332637783,302.1201477050781,198.97354125976562
0.6,8.43192637450738,2.721687833263778,0.0027216878332637783,302.2232666015625,198.97354125976562
0.6,8.535274723926394,2.721687833263778,0.0027216878332637783,302.3263854980469,198.97354125976562
0.6,8.639889792343325,2.721687833263778,0.0027216878332637783,302.42950439453125,198.97354125976562
0.6,8.745787105666706,2.721687833263778,0.0027216878332637783,302.5326232910156,198.97354125976562
0.6,8.85301429775192,2.721687833263778,0.0027216878332637783,302.6357727050781,198.97354125976562
0.6,8.961523833345327,2.721687833263778,0.0027216878332637783,302.7388916015625,198.97354125976562
0.6,9.071363347510852,2.721687833263778,0.0027216878332637783,302.8420104980469,198.97354125976562
0.6,9.182549141516338,2.721687833263778,0.0027216878332637783,302.94512939453125,198.97354125976562
0.6,9.295097716430826,2.721687833263778,0.0027216878332637783,303.0482482910156,198.97354125976562
